description_text,link,data
As empresas Globo e seu inconformismo com a existência da Petrobrás -,https://news.google.com/read/CBMimgFBVV95cUxQaGxCZnhqcWlVVU1PdkNIdkhnSGtYVjN3R29zaVFiYldQYk1CbnNhMHJ6T0VSWVBqRkZwQlFqdXdjY3dIc1VBVWFpTi1qV0VOOFdHYzBDNjdCUTJFOXlWbG1qRXR5NEFNV0k5MEo3VFRIU1FXR1RZX2tpaFlySDZhXzJOUlVIVFE4WU5PdmZZRmtJSWNBSnliOFF3?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
"Petrobras tem lucro de R$ 40,1 bilhões em 2019, o maior da história da estatal",https://news.google.com/read/CBMioAFBVV95cUxOUDhBUzhUam5YNnhUZnlXbEMtcFkxYjg3czVRX2RfbXhMRS1tZHlIMzRkMVQxd04xdHl0WVU2TzlBLTNpYjcxWng1c0pDOWM4Q3VjdWpUNFVRa2tYZUcxN3RqRUJfZzdWRHlYVzlUcnpHeWxrYkNTU3Zlc1VxeFRkUGg5RDBuVGQ3eWRJaG84RXV3aXUwaGtZOUtEWi1NSXdx0gGvAUFVX3lxTE5rbU5uZTR4bzVJRE5sYzhQdEFpLVVmeWhUSXNRNnFoTXVlalg2NWR1NFJQZnR0Ym1xcE9yZ0NZQjNJMFNDZGx0MkFsYWxFdGtoRjdZaFJsTWFSTlJCWmc3RFV1ZThFMmdyQlpqZWo4NmJfam1HcGRXZ3EwYVJ3UU9HX2VwbnRQTHo2MTJtVnZubEtIV2NRZGhSOG5MTWFKRGpsOGpvYjFBSWlsWnBhRWM?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
"BNDES vende R$ 22,06 bilhões em ações da Petrobras",https://news.google.com/read/CBMinwFBVV95cUxPUloyRDliMGtPdG9OaEx2WnFnYUJtXzNGdnQzY05GRlJTdUxiTHNObHQzdkIwMEhfMWg5bml0S0Q3U1M3YjRYWFAyOVh2c0NGTnNDUHY1M3ZsZlItV2JZMWZjYjVIbDdfdGtid1VFemxzdW1tS0Rrb0VnRmxzS1J0SEN3QTR1TTEtU0ROY2wyRmVrNUFpeG9IczM1LUZieFE?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Venda de ações da Petrobras reforçará investimentos sociais do BNDES,https://news.google.com/read/CBMiwgFBVV95cUxNVUNKUE1lSVExTVF2aUlZN0xuLTdrSTlIejlhWHhZdFhsUWg0Nko1el9wS2ZGaWduOTJ5eEdySDRVQzVmNDhYckhkWkctVkNyV01PbGVjVEMtdnlyZmtLT01sWkxXSmJkVWQ1eVBmMkFrWk82bzltWGV3R0FaT3pGRi1fYS04SElQN2NQUUpPcWZFSWo1dHgxNng3czJ1dmRwSWpGTGlWYnNFM19SelVqN05kRXhpdUJFbWxOMHVVWGUzZw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petrobras proíbe entrada de alimentos para trabalhadores que ocupam sede da empresa,https://news.google.com/read/CBMixAFBVV95cUxNcXFXWFQ3QldhTUhieEwzWnhNOG9lMmpMTnVKd1czdzZlQ1R1X25OUHFzV1ZFU1dNbkxYa3F3TC1TeDRUV2E4SWFOWkZpazdaOV9PejJmcnZWRUtvd2g0cFZuQU4zRWxvY2Q0QW0wWlA4MDNpSy00VDllX19lRDBleDBoVDdZZmdMaXoxWWt4a3ZhMUkyS3J4SC1JV085ZHV1ZmszN083UWlJakJzNVlJOTRST3BfLXdIem1GMXl5Y21oeXIz?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petrobras obtém o maior lucro de sua história graças à venda de ativos,https://news.google.com/read/CBMivgFBVV95cUxNTzBldWZIOHM4RVdjUHJyQy15X1BlZ0M2ci1Sb0szSTRHLWVYb3RHaUROZ2NQb2pXTDdjb3B5ekdJRWQzbWxhaHJkX2dLQUR6alZpTXIxU04xSzdMdWtEbG56alptbmtNT3NkUHdmSzF2YWtxdEdJN3E1TlE1TFEzYWVXMkpKUEw4TnBNZzJXVnc3bHRFZmY5emhwTzFnVi13UWQ3NW5hY2hzWkNfTzRJRmlCWmVNS0gySGllaFBR0gHSAUFVX3lxTFBpNzRwc3EyN2hkcXA5WUlBYTViRTZxcHFydVJfLUdKY3gwR0dUODFxTGFTQTd4N01rLVZ4WEhMT0p2cGFOVDV2b2UycTF5a0NMaE5pbzR4NlBUeHYyZGtidXdrRzZzYnVIUlNBNXd3eWlvaXRKWTIycjlVTENKX1BRU05mRzd4MDNuRlRLMUJOQjJ2d0tQaTMyVWluMW5iRV9MM3lQMWRJYjA1QXRjcFRzMElhbF9qRTVVMkJkNVYwSmNaeUhKQkJaX1ZYRmpickxsUQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
"Petrobras recebe prêmio internacional por tecnologias desenvolvidas para campo de Búzios, no pré-sal",https://news.google.com/read/CBMi5AFBVV95cUxPNTd2MGQwRHJJeHZnWklBZ3AwOFoyeFc5anhtTmZwdzRlSDUtTGYycEpvSjBhS0EycUNtbkZBNUZGWkxjU08xNjRDWFNuekFGNE1oaGRhSXFFVjFMQ2I3clgyOG81cnhuUXlaOHNwWGxmSmVONmx3ZXBjWWFQSGRYSDNqVlVRU1NTTGFpUzZ4NzAtbjFPYmV5cHdjTzItaXBXSnVnbFpCN01idkF6NmNrd3l4eElfSm5oLS1xMlQxeXQyYkZPTG5DMDEtNDI0RFk5UmlPNklfbzZBdWN4RE55WFRzVHI?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petrobras vende parte do campo Tartaruga Verde e Módulo III de Espadarte à Petronas,https://news.google.com/read/CBMitAFBVV95cUxORGtZcG5nT21famQ1bkJxV2dDdkYwUlRHOUt0cXdhWFR3YnZyTFN2ZVotNkdhbWxFS1NXOEtPUi1NRVNSUmVQRm82MVpZUFE1VTFpdmE4TVlfeGY2c0dFaURNYktLdEZCU2VIWmNTOGVRZUlsRDVKdjlaQUZmUXRIQXNiUEdmSUpwWEd3V1NsSmstd2UtXzJpLXdRcjVudkI2NlI3NnlBaG15TkVYcFNuNUs3WVY?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
"Petrobras negocia venda da Gaspetro na Bolsa em operação que pode levantar R$ 4 bi, segundo analistas",https://news.google.com/read/CBMi1wFBVV95cUxQZmYycVhlSmNzalo1cHBfTVdlRWZ2TWItSGFvV3hpTDZrcHNGejhwMkszMFBvRkhBYkNoVVlEd3k4UVBTQ1VlSmFWVlRUeE5qTE1rZzB0V2luRXI5OFQ0NU1jTW1VcDFvQnBQQTFoZmJzQUxjNDFtMnl0NV9GajBXTlNSWGpjQTZfeDlydjlocEh5a252dWhzOTlCN2pYY3RKakQtUW5wemJSanhYQ19tSV9rT3pqUW1XNmJTZzF0cW5TQS1DdnM2bXlsLXo1VmJsTWlGNWdVSdIB5gFBVV95cUxOM09LMU9DZnJrVUltS3BNQ3BwMmlaYTVTYzJXQzJzcTZ0RWlHbmRCT0ZoVGc4MWFNVDhOVXdnZHlxdVdVdldCZk56MXNCWHU1blRON0FFeUlUWFF1eDN1YlpEcUFDdHFqazQwaTQ2b3RuU0xCWlUwU2Qzam1OZ0NwS2I3dDdoMmU5M0RMUzJDdHRwcm9oWFZxWGRnT1RXU2RCM21lWV9zcE5SM1FSb1JjQk5jMzcwQjlPYlBuZ211WTVRbzlFYUlWS3JwTHBzYm56OWRLV0JNOU54ZWJac2psQjYxNWpwUQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petrobras volta a impor limitações à alimentação de dirigentes que ocupam sede no RJ,https://news.google.com/read/CBMixgFBVV95cUxNOHNQOGZiVGNqUGJHaWp5YS02Njl2MEQwbU9Xa2lKNUNDNGlkVHZ3U0dTSTVtOEp6ZnZnMmgwb3BGNUZQS0FobWZTZ0xDSUhQTm5rLS0xWnF4Yk96Tk1XQlo0X3hEOFJFM29KX3VWc2o4RmpseFMyMFdqUzhRMGpIalNGeE1YN3RQVnVUU0xqQzdHd0MwU2FsazlPNjVfbDJzNzlUUEQtZkdfWGtRWXhNaFJGOGNVQ0EwQTZRTzdSRjEzaU5DS3c?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
